identifier,full_link,title,weight
coin-12855,https://catalog.princeton.edu/catalog/coin-12855,Coin 12855,3.8
coin-12830,https://catalog.princeton.edu/catalog/coin-12830,Coin 12830,3.78
coin-12997,https://catalog.princeton.edu/catalog/coin-12997,Coin 12997,2.41
coin-12635,https://catalog.princeton.edu/catalog/coin-12635,Coin 12635,1.94
coin-12888,https://catalog.princeton.edu/catalog/coin-12888,Coin 12888,1.06
coin-12363,https://catalog.princeton.edu/catalog/coin-12363,Coin 12363,1.44
coin-12856,https://catalog.princeton.edu/catalog/coin-12856,Coin 12856,3.21
coin-12875,https://catalog.princeton.edu/catalog/coin-12875,Coin 12875,3.51
coin-12889,https://catalog.princeton.edu/catalog/coin-12889,Coin 12889,0.9
coin-12901,https://catalog.princeton.edu/catalog/coin-12901,Coin 12901,3.52
coin-12896,https://catalog.princeton.edu/catalog/coin-12896,Coin 12896,3.86
coin-12678,https://catalog.princeton.edu/catalog/coin-12678,Coin 12678,1.32
coin-12798,https://catalog.princeton.edu/catalog/coin-12798,Coin 12798,3.6
coin-12654,https://catalog.princeton.edu/catalog/coin-12654,Coin 12654,0.98
coin-12775,https://catalog.princeton.edu/catalog/coin-12775,Coin 12775,0.58
coin-12806,https://catalog.princeton.edu/catalog/coin-12806,Coin 12806,3.83
coin-12766,https://catalog.princeton.edu/catalog/coin-12766,Coin 12766,1.6
coin-12627,https://catalog.princeton.edu/catalog/coin-12627,Coin 12627,1.85
coin-12562,https://catalog.princeton.edu/catalog/coin-12562,Coin 12562,1.02
coin-12805,https://catalog.princeton.edu/catalog/coin-12805,Coin 12805,3.87
coin-12586,https://catalog.princeton.edu/catalog/coin-12586,Coin 12586,1.57
coin-12815,https://catalog.princeton.edu/catalog/coin-12815,Coin 12815,3.43
coin-12566,https://catalog.princeton.edu/catalog/coin-12566,Coin 12566,1.18
coin-12604,https://catalog.princeton.edu/catalog/coin-12604,Coin 12604,1.28
coin-12683,https://catalog.princeton.edu/catalog/coin-12683,Coin 12683,0.86
coin-12618,https://catalog.princeton.edu/catalog/coin-12618,Coin 12618,1.17
coin-13085,https://catalog.princeton.edu/catalog/coin-13085,Coin 13085,1.39
coin-13168,https://catalog.princeton.edu/catalog/coin-13168,Coin 13168,1.85
coin-13173,https://catalog.princeton.edu/catalog/coin-13173,Coin 13173,3.59
coin-12649,https://catalog.princeton.edu/catalog/coin-12649,Coin 12649,0.57
coin-13214,https://catalog.princeton.edu/catalog/coin-13214,Coin 13214,3.34
coin-13184,https://catalog.princeton.edu/catalog/coin-13184,Coin 13184,3.71
coin-13177,https://catalog.princeton.edu/catalog/coin-13177,Coin 13177,1.46
coin-13203,https://catalog.princeton.edu/catalog/coin-13203,Coin 13203,9.22
coin-13165,https://catalog.princeton.edu/catalog/coin-13165,Coin 13165,2.86
coin-13056,https://catalog.princeton.edu/catalog/coin-13056,Coin 13056,0.82
coin-13216,https://catalog.princeton.edu/catalog/coin-13216,Coin 13216,
coin-13107,https://catalog.princeton.edu/catalog/coin-13107,Coin 13107,1.14
coin-13029,https://catalog.princeton.edu/catalog/coin-13029,Coin 13029,1.57
coin-13218,https://catalog.princeton.edu/catalog/coin-13218,Coin 13218,3.26
coin-13223,https://catalog.princeton.edu/catalog/coin-13223,Coin 13223,3.37
coin-13110,https://catalog.princeton.edu/catalog/coin-13110,Coin 13110,1.49
coin-13215,https://catalog.princeton.edu/catalog/coin-13215,Coin 13215,
coin-13059,https://catalog.princeton.edu/catalog/coin-13059,Coin 13059,0.91
coin-13220,https://catalog.princeton.edu/catalog/coin-13220,Coin 13220,3.62
coin-13182,https://catalog.princeton.edu/catalog/coin-13182,Coin 13182,1.2
coin-13231,https://catalog.princeton.edu/catalog/coin-13231,Coin 13231,1.26
coin-13090,https://catalog.princeton.edu/catalog/coin-13090,Coin 13090,1.24
coin-13222,https://catalog.princeton.edu/catalog/coin-13222,Coin 13222,2.9
coin-13032,https://catalog.princeton.edu/catalog/coin-13032,Coin 13032,0.89
coin-13233,https://catalog.princeton.edu/catalog/coin-13233,Coin 13233,2.41
coin-13221,https://catalog.princeton.edu/catalog/coin-13221,Coin 13221,3.69
coin-13163,https://catalog.princeton.edu/catalog/coin-13163,Coin 13163,1.38
coin-13239,https://catalog.princeton.edu/catalog/coin-13239,Coin 13239,3.42
coin-13240,https://catalog.princeton.edu/catalog/coin-13240,Coin 13240,2.93
coin-12847,https://catalog.princeton.edu/catalog/coin-12847,Coin 12847,1.41
coin-12747,https://catalog.princeton.edu/catalog/coin-12747,Coin 12747,0.85
coin-12552,https://catalog.princeton.edu/catalog/coin-12552,Coin 12552,1.94
coin-12568,https://catalog.princeton.edu/catalog/coin-12568,Coin 12568,1.43
coin-12771,https://catalog.princeton.edu/catalog/coin-12771,Coin 12771,1.56
coin-12826,https://catalog.princeton.edu/catalog/coin-12826,Coin 12826,3.88
coin-12837,https://catalog.princeton.edu/catalog/coin-12837,Coin 12837,3.65
coin-12632,https://catalog.princeton.edu/catalog/coin-12632,Coin 12632,1.73
coin-12553,https://catalog.princeton.edu/catalog/coin-12553,Coin 12553,1.43
coin-12858,https://catalog.princeton.edu/catalog/coin-12858,Coin 12858,3.19
coin-12838,https://catalog.princeton.edu/catalog/coin-12838,Coin 12838,3.93
coin-12827,https://catalog.princeton.edu/catalog/coin-12827,Coin 12827,3.64
coin-12857,https://catalog.princeton.edu/catalog/coin-12857,Coin 12857,7.58
coin-12772,https://catalog.princeton.edu/catalog/coin-12772,Coin 12772,1.05
coin-12782,https://catalog.princeton.edu/catalog/coin-12782,Coin 12782,0.95
coin-12866,https://catalog.princeton.edu/catalog/coin-12866,Coin 12866,5.58
coin-12749,https://catalog.princeton.edu/catalog/coin-12749,Coin 12749,0.58
coin-1980,https://catalog.princeton.edu/catalog/coin-1980,Coin 1980,10.15
coin-1970,https://catalog.princeton.edu/catalog/coin-1970,Coin 1970,9.33
coin-1958,https://catalog.princeton.edu/catalog/coin-1958,Coin 1958,3.8
coin-715,https://catalog.princeton.edu/catalog/coin-715,Coin 715,1.6
coin-1956,https://catalog.princeton.edu/catalog/coin-1956,Coin 1956,8.9
coin-1955,https://catalog.princeton.edu/catalog/coin-1955,Coin 1955,3.81
coin-1962,https://catalog.princeton.edu/catalog/coin-1962,Coin 1962,9.78
coin-1909,https://catalog.princeton.edu/catalog/coin-1909,Coin 1909,7.96
coin-1953,https://catalog.princeton.edu/catalog/coin-1953,Coin 1953,3.87
coin-1950,https://catalog.princeton.edu/catalog/coin-1950,Coin 1950,3.82
coin-1948,https://catalog.princeton.edu/catalog/coin-1948,Coin 1948,3.86
