identifier,full_link,title,weight,axis
coin-11882,https://catalog.princeton.edu/catalog/coin-11882,"Nicephorus III (1078 to 1081), follis",4.737,6
coin-11883,https://catalog.princeton.edu/catalog/coin-11883,"Nicephorus III (1078 to 1081), follis",2.337,6
coin-11884,https://catalog.princeton.edu/catalog/coin-11884,"Nicephorus III (1078 to 1081), follis",,
coin-11885,https://catalog.princeton.edu/catalog/coin-11885,"Constantine X Ducas (1059 to 1067), follis, Antioch",,
coin-11886,https://catalog.princeton.edu/catalog/coin-11886,"Constantine X Ducas (1059 to 1067), follis, Antioch",4.582,6
coin-11887,https://catalog.princeton.edu/catalog/coin-11887,"Constantine X Ducas (1059 to 1067), follis, Antioch",6.53,6
coin-11888,https://catalog.princeton.edu/catalog/coin-11888,"Constantine X Ducas (1059 to 1067), follis, Antioch",,
coin-11889,https://catalog.princeton.edu/catalog/coin-11889,"Alexios I Komnenos, follis, Antioch",4.737,6
coin-1189,https://catalog.princeton.edu/catalog/coin-1189,Guang Xu 光緒 (1875 to 1908),4.43,
coin-11890,https://catalog.princeton.edu/catalog/coin-11890,"Alexios I Komnenos, follis, Antioch",4.65,6
coin-11891,https://catalog.princeton.edu/catalog/coin-11891,"Hadrian (117 to 138), denarius, Rome",2.96,6
coin-11892,https://catalog.princeton.edu/catalog/coin-11892,"Hadrian (117 to 138), denarius, Rome",3.09,6
coin-11893,https://catalog.princeton.edu/catalog/coin-11893,"Hadrian (117 to 138), denarius, Rome",3.33,7
coin-11894,https://catalog.princeton.edu/catalog/coin-11894,"Hadrian (117 to 138), denarius, Rome",3.19,6
coin-11895,https://catalog.princeton.edu/catalog/coin-11895,"Hadrian (117 to 138), denarius, Rome",3.15,6
coin-11896,https://catalog.princeton.edu/catalog/coin-11896,"Hadrian (117 to 138), denarius, Rome",3.05,6
coin-11897,https://catalog.princeton.edu/catalog/coin-11897,"Hadrian (117 to 138), denarius, Rome",2.87,7
coin-11898,https://catalog.princeton.edu/catalog/coin-11898,"Hadrian (117 to 138), denarius, Rome",2.82,7
coin-11899,https://catalog.princeton.edu/catalog/coin-11899,"Hadrian (117 to 138), denarius, Rome",2.88,6
coin-119,https://catalog.princeton.edu/catalog/coin-119,"Anastasius I (491 to 518), 5 nummi, Constantinople",1.69,6
coin-1190,https://catalog.princeton.edu/catalog/coin-1190,"litra, Syracuse",10.2,6
coin-11900,https://catalog.princeton.edu/catalog/coin-11900,"Hadrian (117 to 138), denarius, Rome",3.51,6
coin-11901,https://catalog.princeton.edu/catalog/coin-11901,"Hadrian (117 to 138), denarius, Rome",2.75,6
coin-11902,https://catalog.princeton.edu/catalog/coin-11902,"Hadrian (117 to 138), denarius, Rome",2.83,12
coin-11903,https://catalog.princeton.edu/catalog/coin-11903,"Hadrian (117 to 138), denarius, Rome",3.22,6
coin-11904,https://catalog.princeton.edu/catalog/coin-11904,"Hadrian (117 to 138), denarius, Rome",3.28,6
coin-11905,https://catalog.princeton.edu/catalog/coin-11905,"Hadrian (117 to 138), denarius, Rome",3.12,7
coin-11906,https://catalog.princeton.edu/catalog/coin-11906,"Hadrian (117 to 138), denarius, Rome",3.31,5
coin-11907,https://catalog.princeton.edu/catalog/coin-11907,"Hadrian (117 to 138), denarius, Rome",2.93,6
coin-11908,https://catalog.princeton.edu/catalog/coin-11908,"Hadrian (117 to 138), denarius, Rome",3.54,6
coin-11909,https://catalog.princeton.edu/catalog/coin-11909,"Hadrian (117 to 138), denarius, Rome",3.07,7
