ID,Catalog link,Existing References,Nomisma dataset,Reference link,Monogram link from http://numismatics.org/hrc/symbols,Second monogram link,Third monogram link,
201,https://catalog.princeton.edu/catalog/coin-201,BMC.1. Augustus 193;RIC.1. Augustus 144;Sear  1666,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.342,,,,
202,https://catalog.princeton.edu/catalog/coin-202,BMC.1. Augustus 193V;RIC.1. Augustus 144V;Sear  1666V,OCRE, http://numismatics.org/ocre/id/ric.1(2).aug.342 (?),,,,
203,https://catalog.princeton.edu/catalog/coin-203,BMC.1. Augustus 200;RIC.1. Augustus 180;Sear  1693,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.420,,,,
204,https://catalog.princeton.edu/catalog/coin-204,BMC.1. Augustus 201;RIC.1. Augustus 181;Sear  1694,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.421,,,,
205,https://catalog.princeton.edu/catalog/coin-205,BMC.1. Augustus 265;RIC.1. Augustus 215;Sear  1703,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.465,,,,NO IMAGE
206,https://catalog.princeton.edu/catalog/coin-206,MG  268;MEC.1  728,,,,,,
207,https://catalog.princeton.edu/catalog/coin-207,MG  320;MEC.1  780;Robert  1122,,,,,,
208,https://catalog.princeton.edu/catalog/coin-208,MG  472;MEC.1  793,,,,,,
209,https://catalog.princeton.edu/catalog/coin-209,MG  1065;MEC.1  953;Charles the Bald pp. 131-34,,,,,,
210,https://catalog.princeton.edu/catalog/coin-210,RRC  13/1;Syd.  1;Sear  22,CRRO,http://numismatics.org/crro/id/rrc-13.1,,,,
211,https://catalog.princeton.edu/catalog/coin-211,RRC  20/1;Syd.  6;Sear  24,CRRO,http://numismatics.org/crro/id/rrc-20.1,,,,
212,https://catalog.princeton.edu/catalog/coin-212,RRC  26/3; Syd.  29;Sear  595,CRRO,http://numismatics.org/crro/id/rrc-26.3,,,,
213,https://catalog.princeton.edu/catalog/coin-213,RRC  27/4;Syd.  23a;Sear  597,CRRO,http://numismatics.org/crro/id/rrc-27.4,,,,
214,https://catalog.princeton.edu/catalog/coin-214,RRC  31/1;Syd.  65;Sear  33,CRRO,http://numismatics.org/crro/id/rrc-31.1,,,,
215,https://catalog.princeton.edu/catalog/coin-215,,,,,,,
216,https://catalog.princeton.edu/catalog/coin-216,,,,,,,
217,https://catalog.princeton.edu/catalog/coin-217,,,,,,,
219,https://catalog.princeton.edu/catalog/coin-219,Charles the Bald pp. 131-34 ;MG  1063;MEC.1  924,,,,,,
220,https://catalog.princeton.edu/catalog/coin-220,MG  1065;MEC.1  953;Charles the Bald pp. 131-34,,,,,,
221,https://catalog.princeton.edu/catalog/coin-221,Charles the Bald pp. 131-34 ;MG  1060;MEC.1  934,,,,,,
225,https://catalog.princeton.edu/catalog/coin-225,MG  1045;MEC.1  889,,,,,,
226,https://catalog.princeton.edu/catalog/coin-226,MG  601;MEC.1  813,,,,,,
231,https://catalog.princeton.edu/catalog/coin-231,Anastasius I 61a; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
232,https://catalog.princeton.edu/catalog/coin-232,Anastasius I 61b; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
233,https://catalog.princeton.edu/catalog/coin-233,Anastasius I 61b; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
234,https://catalog.princeton.edu/catalog/coin-234,Anastasius I 61d; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
235,https://catalog.princeton.edu/catalog/coin-235,Anastasius I 61c; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
236,https://catalog.princeton.edu/catalog/coin-236,Anastasius I 61c; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
237,https://catalog.princeton.edu/catalog/coin-237,Anastasius I 61d; Anastasius I Not;BMC.Byz. Anastasius I Not;Sear  Not,,,,,,
